2026-01-02 19:07:49.080 (   0.000s) [         7B1D000]   plugin_attributes.cc:60       1| PluginAttributes::PJRT_Plugin_Initialize
2026-01-02 19:07:49.080 (   0.000s) [         7B1D000]     client_instance.cc:554      1| ClientInstance::PJRT_Client_Create
2026-01-02 19:07:49.083 (   0.003s) [         7B1D000]     client_instance.cc:177      1| ClientInstance::ClientInstance
2026-01-02 19:07:49.083 (   0.003s) [         7B1D000]     client_instance.cc:198      1| ClientInstance::Initialize
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     client_instance.cc:608      1| ClientInstance::PJRT_Client_PlatformVersion
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     client_instance.cc:589      1| ClientInstance::PJRT_Client_PlatformName
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     client_instance.cc:619      1| ClientInstance::PJRT_Client_Devices
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     client_instance.cc:632      1| ClientInstance::PJRT_Client_AddressableDevices
2026-01-02 19:07:50.408 (   1.328s) [         7B1D000]     client_instance.cc:682      1| ClientInstance::PJRT_Client_AddressableMemories
