WARNING:root:Defaulting to PJRT_DEVICE=CPU
/localdev/jameszianxu/clean/tt-xla/examples/pytorch/mnist.py:29: DeprecationWarning: Use torch_xla.device instead
  device = xm.xla_device()
2025-10-15 15:35:14.730 (   0.000s) [        90B6F000]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-10-15 15:35:14.738 (   0.007s) [        90B6F000]     client_instance.cc:44       1| ClientInstance::ClientInstance
2025-10-15 15:35:14.738 (   0.007s) [        90B6F000]              client.cc:18       1| TTClientInstance::TTClientInstance
2025-10-15 15:35:14.738 (   0.007s) [        90B6F000]     client_instance.cc:74       1| ClientInstance::Initialize
2025-10-15 15:35:25.332 (  10.601s) [        90B6F000]     client_instance.cc:366      1| ClientInstance::getOrCreateMeshDevice - creating new mesh device
2025-10-15 15:35:25.332 (  10.601s) [        90B6F000]     client_instance.cc:419      1| [JAMES] Opening mesh device
2025-10-15 15:35:30.050 (  15.320s) [        90B6F000]              stubs.inc:106   WARN| STUB: PJRT_Client_TopologyDescription
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]      error_instance.cc:49       1| ErrorInstance::PJRT_Error_Message
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]      error_instance.cc:58       1| ErrorInstance::PJRT_Error_GetCode
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]      error_instance.cc:43       1| ErrorInstance::PJRT_Error_Destroy
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     client_instance.cc:518      1| ClientInstance::PJRT_Client_PlatformVersion
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     client_instance.cc:498      1| ClientInstance::PJRT_Client_PlatformName
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     client_instance.cc:530      1| ClientInstance::PJRT_Client_Devices
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     client_instance.cc:543      1| ClientInstance::PJRT_Client_AddressableDevices
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     client_instance.cc:593      1| ClientInstance::PJRT_Client_AddressableMemories
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]        api_bindings.cc:76       1| PJRT_Plugin_Attributes
2025-10-15 15:35:30.051358: W torch_xla/csrc/runtime/profiler.cpp:88] Profiler API not found for PJRT plugin
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-10-15 15:35:30.051 (  15.320s) [        90B6F000]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
