2026-01-02 18:37:28.941 (   0.000s) [        CBC3A000]   plugin_attributes.cc:60       1| PluginAttributes::PJRT_Plugin_Initialize
2026-01-02 18:37:28.941 (   0.000s) [        CBC3A000]     client_instance.cc:554      1| ClientInstance::PJRT_Client_Create
2026-01-02 18:37:28.944 (   0.003s) [        CBC3A000]     client_instance.cc:177      1| ClientInstance::ClientInstance
2026-01-02 18:37:28.944 (   0.003s) [        CBC3A000]     client_instance.cc:198      1| ClientInstance::Initialize
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     client_instance.cc:608      1| ClientInstance::PJRT_Client_PlatformVersion
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     client_instance.cc:589      1| ClientInstance::PJRT_Client_PlatformName
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     client_instance.cc:619      1| ClientInstance::PJRT_Client_Devices
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     client_instance.cc:632      1| ClientInstance::PJRT_Client_AddressableDevices
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     client_instance.cc:682      1| ClientInstance::PJRT_Client_AddressableMemories
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2026-01-02 18:37:30.305 (   1.363s) [        CBC3A000]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
